Ax,Ay,Az,Gx,Gy,Gz
0.9221,-0.4685,-0.1052,13.3511,-22.4656,-35.1221
0.929,-0.3418,0.0486,8.145,-24.5954,-39.8855
1.0874,-0.4407,0.106,3.458,-25.1985,-6.1908
1.1089,-0.4307,-0.0098,2.7634,-10.771,15.1298
0.9663,-0.4604,0.0081,4.2443,6.6489,7.3435
1.0452,-0.4075,-0.0354,-2.6183,2.4046,26.4351
0.9138,-0.4634,0.0535,0.8473,10.0153,1.2366
0.927,-0.4089,0.0547,-0.855,5.687,-5.1374
0.7363,-0.7134,-0.0208,-52.6794,84.0076,-5.1908
1.0369,-0.2751,-0.0042,-44.2443,52.145,-8.1298
1.1682,-0.8093,-0.2827,-46.8855,77.0992,98.8931
1.1692,0.0288,-0.0461,-39.2977,-7.5191,201.8931
0.6304,-0.9868,0.1516,28.9542,-36.9313,185.7863
1.0205,-0.3474,0.1152,-6.0458,16.7481,-250.1374
0.7781,-0.634,0.0654,30.8168,-81.0916,114.7634
0.8267,-0.8564,-0.0278,50.8244,-79.7634,-30.0153
0.9814,-0.5354,0.0845,47.3664,-57.8092,-29.542
0.8584,-0.7693,0.3369,32.6336,-17.5496,-158.5802
1.4351,-0.7859,-0.0388,22.3511,-79.6107,-99.1145
1.9033,-0.5256,-0.2234,17.9237,-20.8244,10.4427
1.1611,-0.6826,-0.0862,-5.3893,124.9618,72.3969
0.6951,-0.9609,-0.001,24.3282,91.2214,47.0305
0.4602,-1.1809,0.1431,50.8779,23.855,-3.8321
0.8474,-0.9109,0.0359,106.8321,-13.5038,-27.9618
0.7739,-0.71,0.0745,113.1985,0.5191,-27.0992
0.6582,-0.959,0.1472,124.4351,-13.1069,5.855
0.4414,-1.385,-0.1301,214.2443,-81.3511,90.1374
0.4717,-1.4314,0.1174,250.1298,-167.0153,27.9771
0.9338,-1.0645,0.1001,250.1298,-186.3206,-29.3817
1.9999,0.4854,-0.6719,203.6183,-178.8473,-250.1374
1.3052,-0.5046,-0.1045,66.6031,144.4198,250.1298
0.3916,-0.8777,0.1184,47.145,230.2137,105.6489
-0.2524,-1.0286,0.4653,101.8397,49.0,2.7939
0.3633,-0.9919,0.3796,152.3817,-136.1527,-99.6489
0.896,-1.1006,0.0388,188.9695,-154.084,-118.9389
1.1865,-0.4763,0.1704,221.0534,-14.9466,-188.1221
0.9578,0.2622,0.1924,116.855,153.7634,-81.5191
0.1931,-0.0112,0.4541,26.9924,97.3893,15.8779
-0.3308,-0.8679,0.324,67.145,-6.8473,-41.1603
0.0212,-0.0986,0.2476,78.1832,-125.1603,-250.1374
0.1597,-0.0891,0.1912,53.6489,-180.3893,-250.1374
0.3723,-0.2097,-0.0762,53.0687,-216.2748,-250.1374
